CID;Event Type;Event Description
401;O/C by user;The specified user has disarmed/armed the system
402;Group O/C;A group of zones has been armed or disarmed
403;Automatic O/C;A partition has been automatically armed or disarmed
404;Late to O/C (Note: use 453 or 454 instead);Late to Open or Close
405;Deferred O/C (Obsolete- do not use );Deferred Open or Close
406;Cancel;The specified user has cancelled the previously reported alarm condition
407;Remote arm/disarm;The specified user has armed or disarmed the system from off-premises
408;Quick arm;The specified user has quick-armed the system
409;Keyswitch O/C;The specified user has armed or disarmed the system using a keyswitch
411;Callback request made;A remote site (central station) has requested the panel call it back
412;Successful download/access;The configuration data of the system has been successfully downloaded
413;Unsuccessful access;A number of failed attempts have been made to remotely access the system
414;System shutdown command received;A central station has sent a system shutdown command to the panel
415;Dialer shutdown command received;A central station has sent a dialer shutdown command to the panel
416;Successful Upload;The configuration data of the system has been successfully uploaded
421;Access denied;The access control system has denied access to the specified user
422;Access report by user; 
423;Forced Access;The specified access control door has been forced open
424;Egress Denied;The access control system has denied egress to the specified user
425;Egress Granted;The access control system has granted egress for the specified user
426;Access Door propped open;The specified access control door has been held open
427;Access point Door Status Monitor trouble;The specified Access Points Door Status Monitor has reported a trouble condition to the panel
428;Access point Request To Exit trouble;The specified Access Points Request To Exit zone has reported a trouble condition to the panel
429;Access program mode entry;The access control system has been put into program mode
430;Access program mode exit;The access control system has exited program mode
431;Access threat level change;The access control systems threat level has been changed
432;Access relay/trigger fail;The specified access control output device has failed to operate properly
433;Access RTE shunt;The specified Request To Exit zone has been shunted and will no longer report activity
434;Access DSM shunt;The specified Door Status Monitor zone has been shunted and will no longer report activity
435;Second Person Access;A second person has accessed an access point conforming to Two-Man-Rule requirements
436;Irregular Access; 
441;Armed STAY;The specified user has armed the system in STAY mode
442;Keyswitch Armed STAY;The specified user has armed the system in STAY mode using a keyswitch
443;Armed with System Trouble Override;The specified user has armed the system while overriding a trouble condition
450;Exception O/C;The system has been armed or disarmed outside of the configured time window
451;Early O/C;The system has been disarmed/armed by the specified user before the configured time window has started
452;Late O/C;The system has been disarmed/armed by the specified user after the configured time window has ended
453;Failed to Open;The system has failed to have been disarmed during the designated time window
454;Failed to Close;The system has failed to be armed during the designated time window
455;Auto-arm Failed;The system has failed to automatically arm itself at the designated time
456;Partial Arm;The system has been only partially armed by the specified user
457;Exit Error (user);The specified user has made an error exiting the premises after arming the system
458;User on Premises;A user has disarmed the system after an alarm has occurred
459;Recent Close;The system had been armed within the last xx minutes
461;Wrong Code Entry; 
462;Legal Code Entry; 
463;Re-arm after Alarm; 
464;Auto-arm Time Extended;A user has successfully requested that the system delay automatically arming
465;Panic Alarm Reset;The specified panic zone has been reset
466;Service On/Off Premises;A service person has entered or left the premises
501;Access reader disable;The credential reader on the specified access point has been disabled
520;Sounder/Relay Disable;The specified sounder or relay has been disabled
521;Bell 1 disable;The specified output for Bell 1 has been disabled
522;Bell 2 disable;The specified output for Bell 2 has been disabled
523;Alarm relay disable;The specified alarm relay has been disabled
524;Trouble relay disable;The specified trouble relay has been disabled
525;Reversing relay disable;The specified reversing relay has been disabled
526;Notification Appliance Ckt. # 3 disable;The specified output for Bell 3 has been disabled
527;Notification Appliance Ckt. # 4 disable;The specified output for Bell 4 has been disabled
531;Module Added;The specified access control module has been added to the system
532;Module Removed;The specified access control module has been removed from the system
551;Dialer disabled;The specified dialer has been disabled
552;Radio transmitter disabled;The specified radio transmitter has been disabled
553;Remote Upload/Download disabled;Remote configuration has been enabled
570;Zone/Sensor bypass;The specified zone or sensor has been bypassed
571;Fire bypass;The specified fire zone has been bypassed
572;24 Hour zone bypass;The specified 24 hour zone has been bypassed
573;Burg. Bypass;The specified burglary zone has been bypassed
574;Group bypass;A group of zones has been bypassed
575;Swinger bypass;The specified zone which has reported an excessive number of faults/restores in a short period of time has been bypassed
576;Access zone shunt;The specified zone in the access control system has been shunted and will no longer report activity
577;Access point bypass;The specified access point in the access control system has been bypassed and will allow the door to open(unsecured)
578;Vault Bypass;The specified vault zone has been bypassed
579;Vent Zone Bypass;The specified vent zone has been bypassed and will no longer report any activity
601;Manual trigger test report;A test report has been triggered manually
602;Periodic test report;A periodic test report has been triggered
603;Periodic RF transmission;A periodic RF path test report has been triggered
604;Fire test;The specified user has initiated a test of the fire alarm zones
605;Status report to follow; 
606;Listen-in to follow;The system is about to activate a 2-way audio session
607;Walk test mode;The specified user has placed the system into the walk-test mode for testing purposes
608;Periodic test - System Trouble Present;A periodic test has been triggered but the fire system has a trouble condition present
609;Video Xmitter active;A video look-in session is about to begin
611;Point tested OK;The specified point tested successfully
612;Point not tested;The specified point has not been tested
613;Intrusion Zone Walk Tested;The specified intrusion zone has been successfully walk-tested
614;Fire Zone Walk Tested;The specified fire zone has been successfully walk-tested
615;Panic Zone Walk Tested;The specified panic zone has been successfully walk-tested
616;Service Request;A request has been made for system servicing
621;Event Log reset;The event log has been reset and all stored events have been discarded
622;Event Log 50% full;The event log is 50% full
623;Event Log 90% full;The event log is 90% full
624;Event Log overflow;The event log has overflowed and events have been lost
625;Time/Date reset;The time and date have been reset to a new value by the specified user
626;Time/Date inaccurate;The system time and date is known to be in error
627;Program mode entry;The system has been placed into program mode
628;Program mode exit;The system has exited program mode
629;32 Hour Event log marker;In the last 31.9 hours (1 and 1/3 days), nothing has been posted to the event log. There is nothing new toread. Does not send to central station and only occurs in the Vista-20/SE and FA sister products.
630;Schedule change;The specified fire/burglary schedule has been changed
631;Exception schedule change;The time schedule for event reporting by exception has been changed
632;Access schedule change;The specified access control schedule has been changed
641;Senior Watch Trouble;A person has not activated a motion sensor in a specified period
642;Latch-key Supervision;A child has disarmed the system (after school)
651;Reserved for Ademco Use; 
652;Reserved for Ademco Use; 
653;Reserved for Ademco Use; 
654;System Inactivity;System has not been operated for x days
655;User Code X modified by Installer;The Installer has modified the specified Users code
703;Auxiliary #3;
704;Installer Test;
750;User Assigned CID Message;
751;User Assigned CID Message;
752;User Assigned CID Message;
753;User Assigned CID Message;
754;User Assigned CID Message;
755;User Assigned CID Message;
756;User Assigned CID Message;
757;User Assigned CID Message;
758;User Assigned CID Message;
759;User Assigned CID Message;
760;User Assigned CID Message;
761;User Assigned CID Message;
762;User Assigned CID Message;
763;User Assigned CID Message;
764;User Assigned CID Message;
765;User Assigned CID Message;
766;User Assigned CID Message;
767;User Assigned CID Message;
768;User Assigned CID Message;
769;User Assigned CID Message;
770;User Assigned CID Message;
771;User Assigned CID Message;
772;User Assigned CID Message;
773;User Assigned CID Message;
774;User Assigned CID Message;
775;User Assigned CID Message;
776;User Assigned CID Message;
777;User Assigned CID Message;
778;User Assigned CID Message;
779;User Assigned CID Message;
780;User Assigned CID Message; 
781;User Assigned CID Message; 
782;User Assigned CID Message; 
783;User Assigned CID Message; 
784;User Assigned CID Message; 
785;User Assigned CID Message; 
786;User Assigned CID Message; 
787;User Assigned CID Message; 
788;User Assigned CID Message; 
789;User Assigned CID Message; 
796;Unable to output signal (Derived Channel; 
798;STU Controller down (Derived Channel); 
900;Download Abort;The specified Downloader ID has aborted a download sequence in progress
901;Download Start/End;Downloader has started or ended a download sequence to the panel
902;Download Interrupted;A download sequence has been interrupted
910;Auto-close with Bypass;An auto-close sequence has been started and the specified zone has been bypassed
911;Bypass Closing; 
912;Fire Alarm Silence;The fire alarm has been silenced
913;Supervisory Point test Start/End;A fire supervisory device has been tested
914;Hold-up test Start/End;The specified user has started or ended a hold-up test
915;Burg. Test Print Start/End;The printed progress of a burglary test has been started or ended
916;Supervisory Test Print Start/End;The printed progress of a supervisory test has been started or ended
917;Burg. Diagnostics Start/End;A burglary system diagnostic test has been started or ended
918;Fire Diagnostics Start/End;A fire system diagnostic test has been started or ended
919;Untyped diagnostics; 
920;Trouble Closing (closed with burg. Durin exit); 
921;Access Denied Code Unknown;Access has been denied because the system did not recognize the supplied access code as valid
922;Supervisory Point Alarm;The specified supervisory point has reported an alarm condition
923;Supervisory Point Bypass;The specified supervisory point has been bypassed
924;Supervisory Point Trouble;The specified supervisory point has reported a trouble condition
925;Hold-up Point Bypass;The specified hold-up point has been bypassed
926;AC Failure for 4 hours;There has been a loss of AC power for at least four hours
927;Output Trouble;The specified output has reported a trouble condition
928;User code for event;This message contains the ID of the user who triggered the previous event
929;Log-off;The specified user has logged-off of the system
954;Communication Failure;Comm fail to the primary (zone 951) or secondary (zone 952) 7810iR-ent in private LAN mode
999;1 and 1/3 Day No Read Log;In the last 31.9 hours (1 and 1/3 days), nothing has been posted to the event log. There is nothing new toread. Does not send to central station and only occurs in the Vista-20/SE and FA sister products.
